DRS;GVE;RS;MUNICÍPIO DE RESIDÊNCIA;SE 01;SE 02;SE 03;SE 04;SE 05;SE 06;SE 07;SE 08;SE 09;SE 10;SE 11;SE 12;SE 13;SE 14;SE 15;SE 16;SE 17;SE 18;SE 19;SE 20;SE 21;SE 22;SE 23;SE 24;SE 25;SE 26;SE 27;SE 28;SE 29;SE 30;SE 31;SE 32;SE 33;SE 34;SE 35;SE 36;SE 37;SE 38;SE 39;SE 40;SE 41;SE 42;SE 43;SE 44;SE 45;SE 46;SE 47;SE 48;SE 49;SE 50;SE 51;SE 52;Total
Marília;MARÍLIA;ADAMANTINA ;Adamantina;94;97;121;139;187;158;230;210;243;255;239;265;277;211;190;175;69;57;43;26;17;8;7;2;0;1;1;1;1;0;1;0;2;2;0;0;2;2;3;5;0;2;0;0;1;3;5;0;1;2;1;0;3356
São José do Rio Preto;SÃO JOSÉ DO RIO PRETO;JOSÉ BONIFÁCIO;Adolfo;0;2;0;0;2;1;0;1;0;0;0;0;2;2;2;1;2;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18
São João da Boa Vista;SÃO JOÃO DA BOA VISTA;MANTIQUEIRA;Aguaí;0;0;0;0;0;0;1;0;0;0;0;0;2;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11
São João da Boa Vista;SÃO JOÃO DA BOA VISTA;MANTIQUEIRA;Águas da Prata;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;2;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;10
Campinas;CAMPINAS;CIRCUITO DAS AGUAS;Águas de Lindóia;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2
Bauru;BOTUCATU;VALE DO JURUMIRIM;Águas de Santa Bárbara;0;0;0;0;1;0;0;0;0;0;0;0;1;2;0;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8
Piracicaba;PIRACICABA;PIRACICABA;Águas de São Pedro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bauru;BAURU;BAURU;Agudos;3;3;1;4;12;49;47;68;77;90;142;174;229;333;220;300;246;185;199;170;66;54;31;19;8;3;4;2;6;1;2;0;1;0;1;0;0;1;0;0;0;1;4;3;3;0;1;1;3;6;2;0;2775
Sorocaba;SOROCABA;ITAPETININGA;Alambari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
Presidente Prudente;PRESIDENTE PRUDENTE;ALTA SOROCABANA;Alfredo Marcondes;74;23;48;49;43;43;33;21;17;23;20;17;18;10;15;6;4;10;3;2;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;482
