DRS,GVE,RS,MUNICÍPIO DE RESIDÊNCIA,SE 01,SE 02,SE 03,SE 04,SE 05,SE 06,SE 07,SE 08,SE 09,SE 10,SE 11,SE 12,SE 13,SE 14,SE 15,SE 16,SE 17,SE 18,Total
MARÍLIA,MARILIA,ADAMANTINA ,Adamantina,1,1,0,4,5,2,13,12,8,13,6,2,4,2,2,1,0,3,79
SÃO JOSÉ DO RIO PRETO,SAO JOSE DO RIO PRETO,JOSÉ BONIFÁCIO,Adolfo,0,0,0,0,0,1,2,0,0,0,2,0,1,1,1,1,2,2,13
SÃO JOÃO DA BOA VISTA,SAO JOAO DA BOA VISTA,MANTIQUEIRA,Aguaí,0,0,1,4,1,1,2,9,5,12,21,24,11,13,15,16,22,12,169
SÃO JOÃO DA BOA VISTA,SAO JOAO DA BOA VISTA,MANTIQUEIRA,Águas da Prata,0,0,0,0,2,1,3,7,1,6,7,19,29,14,20,7,20,18,154
CAMPINAS,CAMPINAS,CIRCUITO DAS AGUAS,Águas de Lindóia,0,0,0,1,8,4,15,27,35,38,65,74,84,126,141,105,109,93,925
BAURU,BOTUCATU,VALE DO JURUMIRIM,Águas de Santa Bárbara,0,0,0,0,2,4,1,0,4,8,10,14,9,24,30,25,59,68,258
PIRACICABA,PIRACICABA,PIRACICABA,Águas de São Pedro,0,0,0,0,1,1,2,3,4,4,8,6,6,4,9,13,4,8,73
BAURU,BAURU,BAURU,Agudos,3,4,1,2,4,7,8,3,18,30,26,19,11,15,15,18,4,1,189
SOROCABA,SOROCABA,ITAPETININGA,Alambari,0,0,0,0,1,0,3,2,2,7,4,7,6,10,14,5,15,7,83
PRESIDENTE PRUDENTE,PRESIDENTE PRUDENTE,ALTA SOROCABANA,Alfredo Marcondes,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3
BARRETOS,BARRETOS,NORTE-BARRETOS,Altair,0,0,0,0,4,2,5,1,1,1,1,1,1,0,4,4,6,0,31
RIBEIRÃO PRETO,RIBEIRAO PRETO,VALE DAS CACHOEIRAS,Altinópolis,1,0,0,1,3,0,3,10,8,9,13,18,29,15,28,57,39,59,293
ARAÇATUBA,ARACATUBA,CONSÓRCIOS DO DRS II,Alto Alegre,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,5
SOROCABA,SOROCABA,SOROCABA,Alumínio,1,0,2,3,2,1,13,12,30,19,23,31,20,36,20,10,2,0,225
SÃO JOSÉ DO RIO PRETO,SAO JOSE DO RIO PRETO,VOTUPORANGA,Álvares Florence,2,0,0,0,1,3,1,0,3,0,5,1,4,5,7,5,16,3,56
