data_iniSE,SE,casos_est,casos_est_min,casos_est_max,casos,p_rt1,p_inc100k,Localidade_id,nivel,id,versao_modelo,tweet,Rt,pop,tempmin,umidmax,receptivo,transmissao,nivel_inc,umidmed,umidmin,tempmed,tempmax,casprov,casprov_est,casprov_est_min,casprov_est_max,casconf,notif_accum_year
2024-05-19,202421,19779.0,9470,,4165,0.0,162.12056,0,4,355030820242119870,2024-05-27,0.0,0.509932,12200180.0,18.4905660377358,87.0675954716981,1,0,2,80.3736487735849,75.5057158301887,19.2594339622642,20.1132075471698,,,,,,778223
2024-05-12,202420,28405.5,23421,,19685,0.0,232.82854,0,4,355030820242019870,2024-05-27,0.0,0.6130947,12200180.0,21.811320754717,63.2717525471698,1,0,2,57.1981263962264,50.7956769811321,22.8113208679245,24.0377358490566,,,,,,778223
2024-05-05,202419,41864.0,38266,,35446,0.0,343.1425,0,4,355030820241919870,2024-05-27,0.0,0.78080153,12200180.0,23.5882352941176,65.0358968431373,1,0,2,60.9654758431373,53.3304534117647,24.2516338823529,25.4117647058824,,,,,,778223
2024-04-28,202418,45442.5,43183,,40658,0.0,372.474,0,4,355030820241819870,2024-05-27,0.0,0.75142294,12200180.0,23.6153846153846,68.7574675384615,1,0,2,64.1605489230769,58.2102594423077,24.375,25.4423076923077,,,,,,778223
2024-04-21,202417,52969.0,51007,,49165,0.0,434.1657,0,4,355030820241719870,2024-05-27,0.0,0.83108395,12200180.0,20.24,79.21583404,1,0,2,76.65902094,71.98159874,20.84666676,21.78,,,,,,778223
2024-04-14,202416,63248.5,61907,,60520,0.91169083,518.42267,0,4,355030820241619870,2024-05-27,0.0,1.0076419,12200180.0,19.8235294117647,87.5939335686274,1,0,2,81.9668057254902,73.6457207254902,20.5196078431373,21.4901960784314,,,,,,778223
2024-04-07,202415,67373.5,66442,,65629,1.0,552.23364,0,4,355030820241519870,2024-05-27,0.0,1.0986197,12200180.0,20.875,88.3287985416667,1,1,2,84.5033222291667,78.7796943333333,21.2395833333333,21.8958333333333,,,,,,778223
2024-03-31,202414,63037.5,62487,,62046,1.0,516.6932,0,4,355030820241419870,2024-05-27,0.0,1.054763,12200180.0,20.7142857142857,82.0760761428571,1,1,2,77.9704031428571,69.9173762857143,21.3690477142857,22.7142857142857,,,,,,778223
2024-03-24,202413,58091.0,57746,,57547,1.0,476.1487,0,4,355030820241319870,2024-05-27,0.0,1.072847,12200180.0,19.0416666666667,89.9893957916667,1,1,2,88.8071457916667,88.253755,19.1805556666667,19.2083333333333,,,,,,778223
2024-03-17,202412,66715.0,66567,,66525,1.0,546.8362,0,4,355030820241219870,2024-05-27,0.0,1.4385775,12200180.0,23.7142857142857,81.9362391428571,1,1,2,79.5661918571429,76.9668668571429,23.9761905714286,24.2857142857143,,,,,,778223
2024-03-10,202411,53863.0,53863,,53863,1.0,441.4935,0,4,355030820241119870,2024-05-27,0.0,1.3727596,12200180.0,23.1111111111111,79.4867508444444,1,1,2,78.8900851777778,78.2869318444444,23.4155555555556,23.6888888888889,,,,,,778223
2024-03-03,202410,45878.0,45878,,45878,1.0,376.04364,0,4,355030820241019870,2024-05-27,0.0,1.4000553,12200180.0,21.8666666666667,87.9625218666667,1,1,2,87.0249294444444,85.8240193777778,21.9377777777778,21.9555555555556,,,,,,778223
2024-02-25,202409,39415.0,39415,,39415,1.0,323.069,0,4,355030820240919870,2024-05-27,0.0,1.4864141,12200180.0,23.2916666666667,82.1888295416667,1,1,2,81.5072850416667,80.82574025,23.3645833333333,23.4375,,,,,,778223
2024-02-18,202408,32971.0,32971,,32971,1.0,270.25012,0,4,355030820240819870,2024-05-27,0.0,1.6180683,12200180.0,21.0208333333333,89.74040125,1,1,2,88.1439720833333,86.18189375,21.09375,21.1666666666667,,,,,,778223
2024-02-11,202407,26515.0,26515,,26515,1.0,217.33286,0,4,355030820240719870,2024-05-27,0.0,1.8674293,12200180.0,21.3061224489796,84.6217816938776,1,1,2,81.6001730612245,78.5785671428571,21.9285714285714,22.5510204081633,,,,,,778223
2024-02-04,202406,20743.0,20743,,20743,1.0,170.02208,0,4,355030820240619870,2024-05-27,0.0,2.3755038,12200180.0,22.1333333333333,79.6076911555556,1,1,2,78.6573504888889,77.7070153777778,22.2111111111111,22.2888888888889,,,,,,778223
2024-01-28,202405,14478.0,14478,,14478,1.0,118.67038,0,4,355030820240519870,2024-05-27,0.0,2.782295,12200180.0,20.875,82.8574224166667,1,1,2,79.9624607083333,76.8108515833333,21.0694445416667,21.3125,,,,,,778223
2024-01-21,202404,7065.0,7065,7065.0,7065,1.0,57.90898,0,4,355030820240419870,2024-05-27,0.0,2.1066792,12200180.0,18.2291666666667,90.655414375,1,1,2,89.8200161458333,88.9919489583333,18.277777875,18.375,,,,,,778223
2024-01-14,202403,4604.0,4604,4604.0,4604,1.0,37.73715,0,4,355030820240319870,2024-05-27,0.0,2.070781,12200180.0,23.5111111111111,82.0155726,1,1,2,80.3151331777778,78.6171941333333,23.7629630666667,24.0666666666667,,,,,,778223
2024-01-07,202402,3066.0,3066,3066.0,3066,1.0,25.130777,0,4,355030820240219870,2024-05-27,0.0,2.2323737,12200180.0,22.6363636363636,80.3886825227273,1,1,2,78.3776565909091,76.3666293181818,23.0681818181818,23.5,,,,,,778223
